Scenario - 
Logfile written - 02/02/2016 13:39:59

Trial	Event Type	Code	x(num)	y(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

0	Response	1	-1980	-22	6649	6649	NA
0	Response	2	-1980	-22	7929	7929	NA
0	Response	1	-1913	-24	9610	9610	NA
1	Response	2	-1913	-24	11229	897	NA
1	Response	1	-2415	-26	14349	4016	NA
1	Response	2	-2415	-26	15649	5316	NA
1	Response	1	-2571	6	17229	6896	NA
1	Response	2	-2571	6	18709	8376	NA
1	Response	1	-2764	3	21449	11117	NA
1	Response	2	-2764	3	23009	12676	NA
1	Response	1	-2805	-11	24389	14057	NA
1	Response	2	-2805	-11	26529	16197	NA
1	Response	1	-2512	-399	28669	18336	NA
1	Response	2	-2512	-399	30329	19996	NA
1	Response	1	-2369	-450	31689	21357	NA
1	Response	2	-2369	-450	32929	22596	NA
1	Response	1	-2014	-447	35029	24697	NA
1	Response	2	-2014	-447	36169	25836	NA
1	Response	1	-1904	-422	37509	27176	NA
1	Response	2	-1904	-422	38749	28416	NA
1	Response	1	-1964	-272	40590	30257	NA
1	Response	2	-1964	-272	41629	31296	NA
1	Response	1	-1997	-238	42629	32296	NA
1	Response	2	-1997	-238	43829	33497	NA
1	Response	1	-1980	-119	45969	35636	NA
1	Response	2	-1980	-119	47029	36697	NA
1	Response	1	-1995	-25	48090	37757	NA
1	Response	2	-1995	-25	50509	40176	NA
1	Response	1	-1989	82	51889	41556	NA
1	Response	2	-1989	82	53009	42676	NA
1	Response	1	-2023	166	54110	43777	NA
1	Response	2	-2023	166	56029	45696	NA
1	Response	1	-2017	306	57709	47376	NA
1	Response	2	-2017	306	58849	48516	NA
1	Response	1	-2056	377	59710	49377	NA
1	Response	2	-2056	377	60850	50517	NA
1	Response	1	-2073	443	62250	51917	NA
1	Response	2	-2073	443	62949	52616	NA
2	Response	1	-2072	-157	72570	1905	NA
2	Response	2	-2072	-157	73369	2705	NA
2	Response	1	-2072	-137	74470	3805	NA
2	Response	2	-2072	-137	75350	4685	NA
